"","state","quantile","occ_category","share_quantile","percentile"
"388","AK",19,"Life, Physical, and Social Science",0.00467814371257485,0.475
"389","AK",19,"Community and Social Services",0.0174026946107784,0.475
"390","AK",19,"Legal",0.00505239520958084,0.475
"391","AK",19,"Arts, Design, Entertainment, Sports, and Media",0.0140344311377246,0.475
"392","AK",19,"Healthcare Practitioners and Technicians",0.0793413173652695,0.475
"393","AK",19,"Healthcare Support",0.0368637724550898,0.475
"394","AK",19,"Protective Service",0.0202095808383234,0.475
"395","AK",19,"Food Preparation and Serving",0.0819610778443114,0.475
"396","AK",19,"Building and Grounds Cleaning and Maintenance",0.0286302395209581,0.475
"397","AK",19,"Personal Care and Service",0.0686751497005988,0.475
"398","AK",19,"Sales and Related",0.116953592814371,0.475
"399","AK",19,"Office and Administrative Support",0.169910179640719,0.475
"400","AK",19,"Farming, Fishing, and Forestry",0.000748502994011976,0.475
"401","AK",19,"Construction",0.0559505988023952,0.475
"402","AK",19,"Installation, Maintenance, and Repair",0.0473428143712575,0.475
"403","AK",19,"Production",0.0357410179640719,0.475
"404","AK",19,"Transportation and Material Moving",0.112275449101796,0.475
"405","AK",19,"Not Identified",0.0147829341317365,0.475
"406","AK",20,"Other Managers",0.0133382734346054,0.5
"407","AK",20,"Business Operations Specialists",0.0804001482030382,0.5
"408","AK",20,"Financial Specialists",0.0515005557613931,0.5
"409","AK",20,"Computer and Mathematical",0.0107447202667655,0.5
"410","AK",20,"Life, Physical, and Social Science",0.0118562430529826,0.5
"411","AK",20,"Community and Social Services",0.0276028158577251,0.5
"412","AK",20,"Legal",0.0124120044460911,0.5
"413","AK",20,"Arts, Design, Entertainment, Sports, and Media",0.0335309373842164,0.5
"414","AK",20,"Healthcare Practitioners and Technicians",0.0439051500555761,0.5
"415","AK",20,"Healthcare Support",0.0379770285290848,0.5
"416","AK",20,"Protective Service",0.00407558354946276,0.5
"417","AK",20,"Food Preparation and Serving",0.103556872915895,0.5
"418","AK",20,"Building and Grounds Cleaning and Maintenance",0.0561319007039644,0.5
"419","AK",20,"Personal Care and Service",0.0207484253427195,0.5
"420","AK",20,"Sales and Related",0.0707669507224898,0.5
"421","AK",20,"Office and Administrative Support",0.19284920340867,0.5
"422","AK",20,"Construction",0.0502037791774731,0.5
"423","AK",20,"Extraction",0.00148203038162282,0.5
"424","AK",20,"Installation, Maintenance, and Repair",0.0255650240829937,0.5
"425","AK",20,"Production",0.0389032975175991,0.5
"426","AK",20,"Transportation and Material Moving",0.083178955168581,0.5
"427","AK",20,"Not Identified",0.0292701000370508,0.5
"428","AK",21,"Other Managers",0.016839378238342,0.525
"429","AK",21,"Business Operations Specialists",0.0849370836417469,0.525
"430","AK",21,"Financial Specialists",0.0105477424130274,0.525
"431","AK",21,"Computer and Mathematical",0.00925240562546262,0.525
"432","AK",21,"Life, Physical, and Social Science",0.00703182827535159,0.525
"433","AK",21,"Community and Social Services",0.0129533678756477,0.525
"434","AK",21,"Legal",0.0307179866765359,0.525
